title,link
"""
        Focado em sustentabilidade, South Summit acontece em Porto Alegre
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=63&r=1684280168889&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11491278%2F&syn=False&key=4a501c91458a48742a770b750d8bd080"""
"""
        Focado em sustentabilidade, South Summit acontece em Porto Alegre
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=64&r=1684280168894&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11489830%2F&syn=False&key=bdf3d043a0e8086ee53f7f23ddb97965"""
"""
        Evento do Google discute sustentabilidade e tecnologia de defesa da Amazônia em Belém
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=65&r=1684280168898&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11509569%2F&syn=False&key=f082c2b343e73df5bbd5a42280cc6025"""
"""
        Focado em sustentabilidade, South Summit começa nesta quarta em Porto Alegre
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=66&r=1684280168902&u=https%3A%2F%2Fg1.globo.com%2Frs%2Frio-grande-do-sul%2Fnoticia%2F2023%2F03%2F28%2Ffocado-em-sustentabilidade-south-summit-comeca-nesta-quarta-em-porto-alegre.ghtml&syn=False&key=2beb93912e3d36fd9203a10a250578dd"""
"""
        Conhecimento e novas tecnologias serão apresentados durante Dias de Campo
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=67&r=1684280168907&u=https%3A%2F%2Fg1.globo.com%2Fmg%2Ftriangulo-mineiro%2Fespecial-publicitario%2Fabcz%2Fexpozebu%2Fnoticia%2F2023%2F05%2F02%2Fconhecimento-e-novas-tecnologias-serao-apresentados-durante-dias-de-campo.ghtml&syn=False&key=ca4e5cc1c6a004fef44c304bf252103d"""
"""
        Representante da Google no Brasil discute sustentabilidade em visita ao Grupo Liberal
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=68&r=1684280168912&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11505470%2F&syn=False&key=f1f91d57b0adc8ac16a79cf6eb740b07"""
"""
        Festival 'Recife mais verde' apresenta proposta de evento voltado para a sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=69&r=1684280168916&u=https%3A%2F%2Fg1.globo.com%2Fpe%2Fpernambuco%2Fne1%2Fvideo%2Ffestival-recife-mais-verde-apresenta-proposta-de-evento-voltado-para-a-sustentabilidade-11499028.ghtml&syn=False&key=7b7d6cdc8bed4794ae18d812bb6a0b4c"""
"""
        Solidariedade e Sustentabilidade no projeto Taba Ecobag, lançamento 28 de março
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=70&r=1684280168921&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fcampinas-regiao%2Fespecial-publicitario%2Fprefeitura-de-louveira%2Flouveira-58-anos-uma-historia-de-muitas-vidas%2Fnoticia%2F2023%2F03%2F22%2Fsolidariedade-e-sustentabilidade-no-projeto-taba-ecobag-lancamento-28-de-marco.ghtml&syn=False&key=5994a1736876d39efcdcb3b10663b4b1"""
"""
        Projeto incentiva a sustentabilidade em Teófilo Otoni
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=71&r=1684280168926&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11422619%2F&syn=False&key=4669a9cc751051d56620709a1cfac791"""
"""
        Cadê Minha Vaga: saiba a importância da sustentabilidade no mercado de trabalho
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=72&r=1684280168931&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11486614%2F&syn=False&key=ed7ed8f7ac665cc944b8e771d1a36232"""
